Name,Desc,images
DARIKA D/K 81/03,"ร้าน DARIKA, รหัส D/K 81/03, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เทา, เหมาะกับนำไปใช้ในห้องนอน",DK 81-03.jpg
DARIKA D/K 81/04,"ร้าน DARIKA, รหัส D/K 81/04, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาดำเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เทา/ดำ/เข้ม, เหมาะกับนำไปใช้ในห้องนอน",DK 81-04.jpg
DARIKA D/K 81/05,"ร้าน DARIKA, รหัส D/K 81/05, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาขาว, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 81-05.jpg
DARIKA D/K 81/06,"ร้าน DARIKA, รหัส D/K 81/06, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 81-06.jpg
DARIKA D/K 81/07,"ร้าน DARIKA, รหัส D/K 81/07, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาฟ้า, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/น้ำเงิน/เทา, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 81-07.jpg
DARIKA D/K 81/08,"ร้าน DARIKA, รหัส D/K 81/08, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาน้ำเงิน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ดำ, เหมาะกับนำไปใช้ในห้องนอน",DK 81-08.jpg
DARIKA D/K 82/01,"ร้าน DARIKA, รหัส D/K 82/01, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 82-01.jpg
DARIKA D/K 82/02,"ร้าน DARIKA, รหัส D/K 82/02, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ กากี, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 82-02.jpg
DARIKA D/K 82/03,"ร้าน DARIKA, รหัส D/K 82/03, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เทา, เหมาะกับนำไปใช้ในห้องนอน",DK 82-03.jpg
DARIKA D/K 82/04,"ร้าน DARIKA, รหัส D/K 82/04, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาดำเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เทา/ดำ/เข้ม, เหมาะกับนำไปใช้ในห้องนอน",DK 82-04.jpg
DARIKA D/K 82/05,"ร้าน DARIKA, รหัส D/K 82/05, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีมเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 82-05.jpg
DARIKA D/K 82/06,"ร้าน DARIKA, รหัส D/K 82/06, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลเทา, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 82-06.jpg
DARIKA D/K 82/07,"ร้าน DARIKA, รหัส D/K 82/07, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/น้ำเงิน/เทา, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 82-07.jpg
DARIKA D/K 82/08,"ร้าน DARIKA, รหัส D/K 82/08, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลดำ, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ดำ, เหมาะกับนำไปใช้ในห้องนอน",DK 82-08.jpg
DARIKA D/K 83/01,"ร้าน DARIKA, รหัส D/K 83/01, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 83-01.jpg
DARIKA D/K 83/02,"ร้าน DARIKA, รหัส D/K 83/02, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ กากี, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 83-02.jpg
DARIKA D/K 83/03,"ร้าน DARIKA, รหัส D/K 83/03, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 83-03.jpg
DARIKA D/K 83/04,"ร้าน DARIKA, รหัส D/K 83/04, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน",DK 83-04.jpg
DARIKA D/K 83/05,"ร้าน DARIKA, รหัส D/K 83/05, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 83-05.jpg
DARIKA D/K 83/06,"ร้าน DARIKA, รหัส D/K 83/06, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เทา, เหมาะกับนำไปใช้ในห้องนอน",DK 83-06.jpg
DARIKA D/K 83/07,"ร้าน DARIKA, รหัส D/K 83/07, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ชมพูอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/ชมพู, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 83-07.jpg
DARIKA D/K 83/08,"ร้าน DARIKA, รหัส D/K 83/08, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ม่วง, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ดำ/ขาว, เหมาะกับนำไปใช้ในห้องนอน",DK 83-08.jpg
DARIKA D/K 83/09,"ร้าน DARIKA, รหัส D/K 83/09, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เขียวอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว, เหมาะกับนำไปใช้ในห้องรับแขก",DK 83-09.jpg
DARIKA D/K 83/10,"ร้าน DARIKA, รหัส D/K 83/10, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เขียวเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เขียวอ่อน, เหมาะกับนำไปใช้ในห้องรับแขก",DK 83-10.jpg
DARIKA D/K 84/01,"ร้าน DARIKA, รหัส D/K 84/01, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 84-01.jpg
DARIKA D/K 84/02,"ร้าน DARIKA, รหัส D/K 84/02, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ กากี, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 84-02.jpg
DARIKA D/K 84/03,"ร้าน DARIKA, รหัส D/K 84/03, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 84-03.jpg
DARIKA D/K 84/04,"ร้าน DARIKA, รหัส D/K 84/04, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน",DK 84-04.jpg
DARIKA D/K 84/05,"ร้าน DARIKA, รหัส D/K 84/05, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 84-05.jpg
DARIKA D/K 84/06,"ร้าน DARIKA, รหัส D/K 84/06, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เทา, เหมาะกับนำไปใช้ในห้องนอน",DK 84-06.jpg
DARIKA D/K 84/07,"ร้าน DARIKA, รหัส D/K 84/07, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ชมพูอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/ชมพู, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 84-07.jpg
DARIKA D/K 84/08,"ร้าน DARIKA, รหัส D/K 84/08, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ม่วง, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ดำ/ขาว, เหมาะกับนำไปใช้ในห้องนอน",DK 84-08.jpg
DARIKA D/K 84/09,"ร้าน DARIKA, รหัส D/K 84/09, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เขียวอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว, เหมาะกับนำไปใช้ในห้องรับแขก",DK 84-09.jpg
DARIKA D/K 84/10,"ร้าน DARIKA, รหัส D/K 84/10, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เขียวเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เขียวอ่อน, เหมาะกับนำไปใช้ในห้องรับแขก",DK 84-10.jpg
DARIKA D/K 85/01,"ร้าน DARIKA, รหัส D/K 85/01, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ขาวออฟไวท์, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 85-01.jpg
DARIKA D/K 85/02,"ร้าน DARIKA, รหัส D/K 85/02, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ขาวเทา, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 85-02.jpg
DARIKA D/K 85/03,"ร้าน DARIKA, รหัส D/K 85/03, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน",DK 85-03.jpg
DARIKA D/K 85/04,"ร้าน DARIKA, รหัส D/K 85/04, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ น้ำตาลดำ, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เบจ/ดำ, เหมาะกับนำไปใช้ในห้องนอน",DK 85-04.jpg
DARIKA D/K 85/05,"ร้าน DARIKA, รหัส D/K 85/05, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 85-05.jpg
DARIKA D/K 85/06,"ร้าน DARIKA, รหัส D/K 85/06, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีมเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 85-06.jpg
DARIKA D/K 85/07,"ร้าน DARIKA, รหัส D/K 85/07, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ กากี, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 85-07.jpg
